Year,Month,Emergency,NonEmergency
2007,January,37942,36992
2007,February,33931,33642
2007,March,37748,39139
2007,April,36948,35692
2007,May,39003,37197
2007,June,38315,37489
2007,July,43213,41614
2007,August,40111,41910
2007,September,39816,39113
2007,October,40476,39665
2007,November,38204,35944
2007,December,38315,37489
2008,January,36310,32334
2008,February,34637,33870
2008,March,40263,38281
2008,April,40845,40524
2008,May,42329,43082
2008,June,41625,41539
2008,July,43247,41661
2008,August,41946,40541
2008,September,41098,45136
2008,October,43303,45085
2008,November,36524,36645
2008,December,37997,34731
2009,January,37420,36610
2009,February,34172,36300
2009,March,38227,38144
2009,April,38668,37609
2009,May,38687,39613
2009,June,38620,39617
2009,July,40773,36601
2009,August,38922,39423
2009,September,36815,40314
2009,October,41693,39066
2009,November,41415,40267
2009,December,43559,35610
2010,January,41655,31959
2010,February,37938,30389
2010,March,42123,33166
2010,April,40995,32649
2010,May,42570,34471
2010,June,42815,33636
2010,July,42796,38429
2010,August,44765,36794
2010,September,42759,36330
2010,October,44698,37040
2010,November,41565,32821
2010,December,42771,32027
2011,January,41400,32610
2011,February,38014,31283
2011,March,41212,35215
2011,April,39979,34769
2011,May,41883,32948
2011,June,41504,35397
2011,July,43037,36021
2011,August,43166,36943
2011,September,42648,38300
2011,October,46464,45720
2011,November,41743,37329
2011,December,46316,41696
2012,January,44572,40656
2012,February,42974,38561
2012,March,45453,41053
2012,April,45177,41012
2012,May,46568,43003
2012,June,45357,43241
2012,July,47086,45772
2012,August,47864,46939
2012,September,44885,44826
2012,October,50325,49013
2012,November,47264,42685
2012,December,46114,42136
2013,January,46072,44064
2013,February,40412,38804
2013,March,44389,43999
2013,April,45335,43981
2013,May,47509,44463
2013,June,48663,44494
2013,July,48831,48486
2013,August,50963,52262
2013,September,51057,52592
2013,October,49901,51382
2013,November,46094,44186
2013,December,47846,43416
2014,January,47748,46278
2014,February,43953,41019
2014,March,50005,47933
2014,April,48914,47076
2014,May,53545,50263
2014,June,51717,49923
2014,July,54240,53791
2014,August,53297,54056
2014,September,51728,51874
2014,October,54652,54456
2014,November,49343,48128
2014,December,57354,48354
2015,January,51727,50937
2015,February,49937,47057
2015,March,55768,52098
2015,April,53312,48861
2015,May,53951,50099
2015,June,54052,52748
2015,July,55501,55799
2015,August,56587,56983
2015,September,54911,53697
2015,October,56691,57143
2015,November,51025,48776
2015,December,52858,47537
2016,January,50794,47208
2016,February,49369,48915
2016,March,52008,51371
2016,April,50239,53101
2016,May,54518,53420
2016,June,53836,54017
2016,July,55193,55014
2016,August,52331,53126
2016,September,52502,52577
2016,October,54922,53544
2016,November,53902,45185
2016,December,55179,37818
